epoch,loss,metric
1,0.300548,0.419841
2,0.215764,0.949206
3,0.177959,0.965873
4,0.173807,0.760317
5,0.142401,0.663492
6,0.146127,0.950794
7,0.138950,0.941270
8,0.114449,0.927778
9,0.120236,0.938095
10,0.102391,0.957937
11,0.101917,0.957143
12,0.101590,0.968254
13,0.092252,0.964286
14,0.090888,0.968254
15,0.091447,0.955556
16,0.070643,0.977778
17,0.084413,0.948413
18,0.075325,0.979365
19,0.069422,0.968254
20,0.066012,0.954762
21,0.065738,0.968254
22,0.078094,0.812698
23,0.062721,0.976984
24,0.048503,0.903968
25,0.056894,0.943651
26,0.061167,0.775397
27,0.043200,0.984127
28,0.051809,0.977778
29,0.040156,0.950794
30,0.046031,0.946825
31,0.039242,0.979365
32,0.036718,0.985714
33,0.055061,0.988889
34,0.032843,0.976190
35,0.029277,0.911111
36,0.029545,0.980952
37,0.037008,0.982540
38,0.031028,0.969048
39,0.028504,0.902381
40,0.021138,0.977778
41,0.028728,0.975397
42,0.021375,0.983333
43,0.028022,0.971429
44,0.036453,0.987302
45,0.021213,0.979365
46,0.014579,0.985714
47,0.017024,0.988095
48,0.020964,0.820635
49,0.019141,0.985714
50,0.012954,0.984127
51,0.011205,0.962698
52,0.038449,0.977778
53,0.015564,0.988095
54,0.011606,0.986508
55,0.008787,0.984127
56,0.021323,0.980952
57,0.011517,0.982540
58,0.017718,0.984921
59,0.014830,0.987302
60,0.026914,0.990476
61,0.008108,0.988889
62,0.017561,0.986508
63,0.031003,0.987302
64,0.009179,0.981746
65,0.007264,0.991270
66,0.030334,0.980952
67,0.014073,0.985714
68,0.007804,0.982540
69,0.006421,0.987302
70,0.004175,0.985714
71,0.004072,0.980159
72,0.024001,0.988095
73,0.003269,0.988095
74,0.000723,0.991270
75,0.016102,0.980952
76,0.008095,0.984127
77,0.005694,0.986508
78,0.010506,0.984127
79,0.031780,0.971429
80,0.006010,0.989683
81,0.005240,0.985714
82,0.004518,0.980159
83,0.001863,0.984921
84,0.002147,0.988095
85,0.009593,0.962698
86,0.025855,0.984921
87,0.012372,0.984127
88,0.004655,0.986508
89,0.002547,0.988889
90,0.000573,0.989683
91,0.008527,0.988889
92,0.012287,0.986508
93,0.010094,0.988889
94,0.005623,0.984921
95,0.014188,0.985714
96,0.005316,0.982540
97,0.003940,0.985714
98,0.001105,0.984127
99,0.000345,0.986508
100,0.021859,0.983333
