epoch,loss,metric
1,0.328537,0.474603
2,0.191794,0.316667
3,0.136123,0.506349
4,0.109958,0.854762
5,0.086553,0.938889
6,0.091239,0.217460
7,0.087804,0.955556
8,0.094202,0.951587
9,0.095961,0.597619
10,0.085661,0.962698
11,0.128812,0.651587
12,0.067872,0.961905
13,0.060207,0.830952
14,0.059031,0.758730
15,0.095232,0.976190
16,0.051158,0.892857
17,0.040631,0.829365
18,0.053050,0.976190
19,0.052167,0.471429
20,0.045204,0.971429
21,0.061312,0.973810
22,0.036286,0.984127
23,0.041781,0.972222
24,0.061477,0.961905
25,0.056663,0.976190
26,0.028977,0.956349
27,0.034679,0.444444
28,0.047355,0.979365
29,0.031034,0.971429
30,0.030163,0.961905
31,0.022031,0.744444
32,0.033053,0.980952
33,0.024598,0.971429
34,0.056824,0.946825
35,0.037764,0.980952
36,0.020608,0.892063
37,0.027890,0.988889
38,0.011364,0.977778
39,0.037707,0.951587
40,0.021209,0.986508
41,0.030076,0.942857
42,0.016240,0.980159
43,0.011224,0.773810
44,0.043138,0.973016
45,0.022090,0.991270
46,0.004163,0.988095
47,0.020503,0.978571
48,0.019240,0.948413
49,0.035752,0.980952
50,0.021884,0.978571
51,0.019627,0.985714
52,0.008177,0.975397
53,0.007675,0.976984
54,0.006773,0.988095
55,0.018027,0.976984
56,0.019645,0.986508
57,0.008993,0.982540
58,0.020619,0.907143
59,0.013347,0.981746
60,0.010016,0.922222
61,0.019819,0.943651
62,0.018012,0.961905
63,0.007585,0.986508
64,0.014917,0.950000
65,0.015639,0.983333
66,0.007697,0.984127
67,0.009534,0.984921
68,0.006857,0.983333
69,0.020674,0.992063
70,0.023844,0.926190
71,0.005675,0.985714
72,0.003790,0.953175
73,0.005878,0.984921
74,0.023928,0.965873
75,0.014606,0.979365
76,0.011534,0.919841
77,0.004951,0.992063
78,0.004883,0.987302
79,0.024522,0.968254
80,0.013972,0.980159
81,0.022542,0.974603
82,0.009490,0.985714
83,0.009174,0.980952
84,0.003726,0.989683
85,0.024074,0.990476
86,0.031791,0.988889
87,0.012369,0.992063
88,0.012881,0.987302
89,0.005073,0.983333
90,0.007049,0.872222
91,0.009444,0.934127
92,0.020562,0.969048
93,0.015738,0.981746
94,0.010654,0.969048
95,0.009605,0.991270
96,0.000511,0.988889
97,0.001077,0.971429
98,0.020736,0.854762
99,0.009803,0.975397
100,0.004644,0.987302
