epoch,loss,metric
1,0.429725,0.891270
2,0.277745,0.691270
3,0.227709,0.914286
4,0.195339,0.890476
5,0.166007,0.903968
6,0.149372,0.954762
7,0.142245,0.969048
8,0.118280,0.826984
9,0.101218,0.923016
10,0.116115,0.963492
11,0.110238,0.962698
12,0.096773,0.956349
13,0.091715,0.959524
14,0.079903,0.827778
15,0.091346,0.969841
16,0.110298,0.975397
17,0.082203,0.977778
18,0.067432,0.963492
19,0.098947,0.892063
20,0.086780,0.980952
21,0.064197,0.976190
22,0.054083,0.979365
23,0.071529,0.951587
24,0.057771,0.982540
25,0.041411,0.980952
26,0.055418,0.981746
27,0.037353,0.982540
28,0.028937,0.973016
29,0.038665,0.978571
30,0.035330,0.936508
31,0.055638,0.980159
32,0.040969,0.979365
33,0.028430,0.980159
34,0.026311,0.984921
35,0.026182,0.984127
36,0.026574,0.983333
37,0.018841,0.984921
38,0.022719,0.984127
39,0.020264,0.934127
40,0.028149,0.982540
41,0.019109,0.980159
42,0.015023,0.985714
43,0.021805,0.980159
44,0.025888,0.975397
45,0.011351,0.961111
46,0.030158,0.981746
47,0.011350,0.980159
48,0.013407,0.986508
49,0.007801,0.980952
50,0.013388,0.982540
51,0.019478,0.986508
52,0.008055,0.962698
53,0.025970,0.979365
54,0.012563,0.985714
55,0.004726,0.986508
56,0.002037,0.985714
57,0.036846,0.957143
58,0.017098,0.986508
59,0.008618,0.961905
60,0.005538,0.978571
61,0.009393,0.969048
62,0.022159,0.981746
63,0.007087,0.987302
64,0.004739,0.983333
65,0.010191,0.965873
66,0.029916,0.987302
67,0.004721,0.984921
68,0.006101,0.984127
69,0.010405,0.981746
70,0.011166,0.980159
71,0.001719,0.982540
72,0.008313,0.983333
73,0.010595,0.984921
74,0.012442,0.986508
75,0.004861,0.978571
76,0.006756,0.980159
77,0.024033,0.979365
78,0.005709,0.987302
79,0.001663,0.988095
80,0.000761,0.988095
81,0.001609,0.980159
82,0.014242,0.989683
83,0.002821,0.985714
84,0.001147,0.985714
85,0.008625,0.981746
86,0.003930,0.987302
87,0.016616,0.974603
88,0.017665,0.982540
89,0.002836,0.980952
90,0.003098,0.983333
91,0.003631,0.986508
92,0.005612,0.983333
93,0.003621,0.981746
94,0.025742,0.980952
95,0.006040,0.984127
96,0.004001,0.986508
97,0.000649,0.988095
98,0.000607,0.987302
99,0.000294,0.988095
100,0.033016,0.972222
