epoch,loss,metric
1,0.344027,0.936508
2,0.223801,0.949206
3,0.171343,0.957937
4,0.140740,0.969048
5,0.095261,0.971429
6,0.107588,0.915873
7,0.106344,0.969841
8,0.071620,0.984127
9,0.066483,0.946825
10,0.065988,0.963492
11,0.056742,0.957937
12,0.066551,0.965873
13,0.058376,0.984127
14,0.047928,0.986508
15,0.052755,0.979365
16,0.039923,0.980952
17,0.045974,0.984127
18,0.040970,0.978571
19,0.036619,0.988095
20,0.027875,0.990476
21,0.060038,0.984921
22,0.029587,0.982540
23,0.035135,0.982540
24,0.022587,0.984921
25,0.026357,0.979365
26,0.029708,0.973016
27,0.024465,0.984127
28,0.027677,0.988095
29,0.020606,0.984127
30,0.018757,0.983333
31,0.022680,0.981746
32,0.027807,0.977778
33,0.010560,0.986508
34,0.019780,0.986508
35,0.016698,0.983333
36,0.016877,0.985714
37,0.018332,0.989683
38,0.023947,0.990476
39,0.019736,0.980952
40,0.019394,0.985714
41,0.008216,0.988095
42,0.008813,0.983333
43,0.016920,0.982540
44,0.019742,0.978571
45,0.018983,0.991270
46,0.011440,0.992063
47,0.009409,0.988095
48,0.012333,0.990476
49,0.005969,0.989683
50,0.020865,0.985714
51,0.017490,0.992063
52,0.011004,0.988889
53,0.002317,0.990476
54,0.012599,0.988095
55,0.002099,0.990476
56,0.026369,0.982540
57,0.021166,0.993651
58,0.003385,0.992063
59,0.002916,0.989683
60,0.008509,0.978571
61,0.005368,0.992857
62,0.015887,0.946032
63,0.027751,0.992063
64,0.004571,0.988889
65,0.003612,0.988889
66,0.007049,0.991270
67,0.001089,0.988889
68,0.004539,0.975397
69,0.024023,0.982540
70,0.005002,0.991270
71,0.002269,0.988889
72,0.002622,0.979365
73,0.013642,0.990476
74,0.008493,0.980159
75,0.018831,0.991270
76,0.003482,0.985714
77,0.003273,0.990476
78,0.006838,0.988095
79,0.007275,0.986508
80,0.007152,0.989683
81,0.005936,0.988889
82,0.012704,0.988889
83,0.006938,0.991270
84,0.003102,0.989683
85,0.002954,0.992063
86,0.001383,0.990476
87,0.000151,0.989683
88,0.000124,0.989683
89,0.000040,0.991270
90,0.001638,0.956349
91,0.029059,0.986508
92,0.006006,0.988095
93,0.002777,0.981746
94,0.005171,0.988095
95,0.004320,0.984127
96,0.019100,0.988095
97,0.022247,0.988095
98,0.004494,0.989683
99,0.004953,0.992063
100,0.005905,0.992063
