epoch,loss,metric
1,0.480665,0.806349
2,0.267918,0.962698
3,0.191643,0.573016
4,0.163929,0.669841
5,0.135406,0.968254
6,0.114926,0.898413
7,0.108311,0.973810
8,0.087149,0.823016
9,0.094889,0.971429
10,0.089775,0.830952
11,0.078527,0.967460
12,0.076926,0.932540
13,0.070997,0.969841
14,0.067971,0.969048
15,0.063455,0.984127
16,0.057190,0.323810
17,0.062618,0.932540
18,0.055409,0.964286
19,0.052626,0.944444
20,0.050014,0.988095
21,0.048682,0.987302
22,0.050371,0.975397
23,0.046858,0.992063
24,0.053697,0.988095
25,0.041806,0.965079
26,0.039865,0.735714
27,0.039478,0.982540
28,0.040695,0.982540
29,0.029768,0.953175
30,0.037852,0.969048
31,0.043289,0.971429
32,0.032738,0.988095
33,0.037035,0.955556
34,0.032794,0.980952
35,0.024802,0.891270
36,0.033696,0.771429
37,0.032375,0.858730
38,0.022305,0.986508
39,0.026607,0.992063
40,0.029783,0.906349
41,0.024282,0.988889
42,0.020425,0.988889
43,0.024050,0.984127
44,0.023191,0.993651
45,0.015195,0.984921
46,0.022845,0.970635
47,0.019151,0.989683
48,0.022152,0.988889
49,0.022774,0.992857
50,0.016891,0.989683
51,0.019014,0.983333
52,0.014298,0.990476
53,0.018043,0.992063
54,0.015204,0.979365
55,0.017493,0.988889
56,0.018868,0.980159
57,0.020893,0.993651
58,0.010123,0.992857
59,0.020631,0.954762
60,0.016541,0.990476
61,0.014278,0.989683
62,0.012740,0.987302
63,0.009738,0.988095
64,0.009739,0.972222
65,0.013923,0.988889
66,0.015195,0.982540
67,0.012274,0.993651
68,0.010274,0.992857
69,0.006711,0.994444
70,0.014303,0.985714
71,0.008143,0.993651
72,0.018862,0.993651
73,0.013371,0.993651
74,0.003160,0.962698
75,0.006466,0.994444
76,0.004162,0.941270
77,0.035711,0.989683
78,0.010601,0.987302
79,0.003670,0.988889
80,0.006032,0.996032
81,0.004080,0.994444
82,0.003182,0.995238
83,0.006999,0.991270
84,0.012356,0.992063
85,0.015300,0.988095
86,0.006229,0.992857
87,0.008583,0.986508
88,0.007480,0.994444
89,0.007870,0.979365
90,0.007091,0.990476
91,0.004498,0.986508
92,0.006893,0.993651
93,0.005848,0.991270
94,0.008445,0.992857
95,0.005282,0.992063
96,0.009134,0.988095
97,0.005791,0.995238
98,0.005376,0.993651
99,0.003635,0.993651
100,0.010536,0.988889
