epoch,loss,metric
1,0.294182,0.452381
2,0.185095,0.915873
3,0.136051,0.518254
4,0.101399,0.678571
5,0.084761,0.965873
6,0.097291,0.957143
7,0.095675,0.892063
8,0.057908,0.775397
9,0.065928,0.953968
10,0.058485,0.959524
11,0.054366,0.937302
12,0.071837,0.452381
13,0.055303,0.804762
14,0.042320,0.964286
15,0.049097,0.747619
16,0.062957,0.966667
17,0.051872,0.968254
18,0.068480,0.920635
19,0.040694,0.732540
20,0.035856,0.953968
21,0.042568,0.970635
22,0.060424,0.940476
23,0.029207,0.510317
24,0.031620,0.927778
25,0.023434,0.976190
26,0.018900,0.878571
27,0.028589,0.928571
28,0.036529,0.909524
29,0.026217,0.970635
30,0.038602,0.965873
31,0.036428,0.946825
32,0.032062,0.975397
33,0.030580,0.957937
34,0.016822,0.544444
35,0.022627,0.274603
36,0.049157,0.827778
37,0.042540,0.957143
38,0.020122,0.537302
39,0.016615,0.952381
40,0.017713,0.966667
41,0.025229,0.823016
42,0.013811,0.842063
43,0.014100,0.776984
44,0.009567,0.923810
45,0.033069,0.411905
46,0.022993,0.934921
47,0.010270,0.986508
48,0.012958,0.956349
49,0.014394,0.972222
50,0.015344,0.874603
51,0.030876,0.973016
52,0.016102,0.985714
53,0.022956,0.993651
54,0.008594,0.986508
55,0.007659,0.888095
56,0.007128,0.523016
57,0.001626,0.991270
58,0.044608,0.961905
59,0.013871,0.992063
60,0.010656,0.980159
61,0.016484,0.980159
62,0.007145,0.968254
63,0.015867,0.980952
64,0.015147,0.951587
65,0.013610,0.988095
66,0.016582,0.602381
67,0.012399,0.987302
68,0.007767,0.989683
69,0.014371,0.987302
70,0.006836,0.980952
71,0.019297,0.950000
72,0.006023,0.981746
73,0.012442,0.976190
74,0.010047,0.933333
75,0.018618,0.963492
76,0.021043,0.984127
77,0.002018,0.985714
78,0.007439,0.982540
79,0.004580,0.984127
80,0.017496,0.529365
81,0.010160,0.985714
82,0.008420,0.980952
83,0.003640,0.940476
84,0.009220,0.980952
85,0.007849,0.838889
86,0.007285,0.977778
87,0.010835,0.983333
88,0.025579,0.984127
89,0.004227,0.988095
90,0.002778,0.983333
91,0.032202,0.951587
92,0.009130,0.982540
93,0.006367,0.991270
94,0.000790,0.993651
95,0.003098,0.846825
96,0.025499,0.836508
97,0.002309,0.989683
98,0.004003,0.696825
99,0.002385,0.972222
100,0.025515,0.888889
