epoch,loss,metric
1,0.285285,0.452381
2,0.174698,0.577778
3,0.109981,0.810317
4,0.107380,0.957143
5,0.098350,0.966667
6,0.076854,0.889683
7,0.064041,0.976190
8,0.061683,0.743651
9,0.066658,0.815873
10,0.047913,0.973810
11,0.046185,0.982540
12,0.039313,0.906349
13,0.046187,0.977778
14,0.047991,0.983333
15,0.039358,0.965873
16,0.025421,0.978571
17,0.046091,0.964286
18,0.067220,0.891270
19,0.034580,0.780159
20,0.028602,0.976190
21,0.031716,0.916667
22,0.027523,0.976984
23,0.016290,0.976190
24,0.022934,0.718254
25,0.031320,0.960317
26,0.017675,0.980952
27,0.014446,0.845238
28,0.026133,0.680952
29,0.018522,0.977778
30,0.022789,0.963492
31,0.019342,0.981746
32,0.017103,0.980952
33,0.035905,0.968254
34,0.017276,0.982540
35,0.015291,0.988095
36,0.022985,0.976190
37,0.019518,0.992063
38,0.018189,0.890476
39,0.029876,0.980952
40,0.020095,0.976190
41,0.010296,0.986508
42,0.007212,0.982540
43,0.006677,0.983333
44,0.030996,0.975397
45,0.006268,0.987302
46,0.006503,0.951587
47,0.029877,0.958730
48,0.003886,0.987302
49,0.007717,0.987302
50,0.011801,0.957937
51,0.017478,0.980159
52,0.013279,0.979365
53,0.001737,0.984921
54,0.013318,0.920635
55,0.028452,0.990476
56,0.014515,0.807937
57,0.006811,0.969841
58,0.021606,0.984127
59,0.005660,0.989683
60,0.000572,0.984127
61,0.030528,0.976190
62,0.011095,0.985714
63,0.007945,0.975397
64,0.006478,0.951587
65,0.001812,0.983333
66,0.003657,0.988095
67,0.016314,0.911111
68,0.024994,0.973810
69,0.006328,0.982540
70,0.008125,0.986508
71,0.002740,0.984127
72,0.007656,0.969841
73,0.004734,0.989683
74,0.008911,0.968254
75,0.005508,0.993651
76,0.001154,0.983333
77,0.000355,0.991270
78,0.022971,0.932540
79,0.022171,0.984921
80,0.008878,0.963492
81,0.006142,0.981746
82,0.014516,0.959524
83,0.004914,0.981746
84,0.001685,0.989683
85,0.000136,0.991270
86,0.004525,0.898413
87,0.020483,0.970635
88,0.012515,0.955556
89,0.002501,0.988889
90,0.003050,0.983333
91,0.011884,0.976984
92,0.006331,0.973810
93,0.008827,0.940476
94,0.015777,0.502381
95,0.006599,0.980952
96,0.002240,0.989683
97,0.000904,0.991270
98,0.001178,0.992063
99,0.000054,0.991270
100,0.000674,0.990476
