epoch,loss,metric
1,0.436985,0.772222
2,0.245783,0.905556
3,0.196311,0.884921
4,0.170814,0.951587
5,0.159116,0.829365
6,0.163522,0.965873
7,0.131312,0.938889
8,0.126709,0.965873
9,0.117556,0.956349
10,0.110374,0.969841
11,0.103684,0.965079
12,0.100579,0.950794
13,0.106223,0.973016
14,0.097774,0.965079
15,0.084806,0.976984
16,0.084930,0.928571
17,0.110341,0.950000
18,0.105237,0.949206
19,0.086211,0.975397
20,0.078192,0.954762
21,0.078148,0.969841
22,0.083276,0.969841
23,0.064943,0.943651
24,0.069808,0.819048
25,0.055284,0.965079
26,0.062116,0.963492
27,0.056262,0.982540
28,0.063486,0.975397
29,0.050212,0.415079
30,0.043778,0.735714
31,0.050272,0.974603
32,0.041911,0.971429
33,0.040250,0.976190
34,0.039112,0.965873
35,0.035968,0.983333
36,0.041682,0.958730
37,0.037658,0.978571
38,0.028990,0.982540
39,0.044532,0.988095
40,0.029895,0.962698
41,0.021792,0.984921
42,0.042036,0.971429
43,0.020698,0.969841
44,0.028893,0.976190
45,0.023366,0.961111
46,0.025648,0.969841
47,0.022940,0.977778
48,0.021051,0.978571
49,0.012547,0.973810
50,0.018890,0.963492
51,0.027037,0.981746
52,0.016036,0.976984
53,0.021920,0.979365
54,0.012557,0.972222
55,0.022765,0.975397
56,0.009700,0.973016
57,0.010249,0.976984
58,0.015527,0.976190
59,0.016238,0.980159
60,0.010939,0.978571
61,0.020505,0.973016
62,0.012892,0.944444
63,0.016826,0.978571
64,0.011078,0.980159
65,0.008280,0.984921
66,0.009549,0.983333
67,0.017997,0.967460
68,0.019798,0.984127
69,0.003165,0.987302
70,0.033636,0.976984
71,0.012062,0.981746
72,0.006071,0.984921
73,0.003836,0.986508
74,0.003384,0.976190
75,0.017791,0.964286
76,0.029062,0.988889
77,0.009129,0.988889
78,0.003246,0.984921
79,0.011753,0.980952
80,0.012258,0.947619
81,0.006043,0.981746
82,0.007950,0.970635
83,0.005073,0.981746
84,0.008825,0.982540
85,0.012970,0.985714
86,0.014394,0.979365
87,0.009553,0.984921
88,0.001361,0.986508
89,0.010755,0.985714
90,0.010199,0.977778
91,0.008637,0.986508
92,0.001555,0.987302
93,0.000239,0.988095
94,0.006223,0.976190
95,0.018338,0.960317
96,0.014217,0.976190
97,0.010903,0.986508
98,0.003515,0.988889
99,0.001779,0.988889
100,0.000738,0.986508
