epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.376,2.50677,13.968,0.03104,0.0003,0.4181,0.00015,3e-05,0.32785,5.83734,0.00459,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,178.653,2.28839,7.55148,0.02736,0.00028,0.03642,2e-05,0,0.33443,0.56159,0.00485,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,242.735,2.34863,4.4597,0.0272,0.00011,0.07258,2e-05,0,0.31488,0.57482,0.00421,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,302.932,2.3601,3.85257,0.0283,0.00475,0.42606,0.01419,0.00369,0.29367,1.67446,0.00401,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,363.178,2.23844,3.63815,0.02549,0.00606,0.36677,0.01796,0.00446,0.30667,0.90741,0.00432,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,423.002,2.16476,3.52858,0.02524,0.51908,0.23387,0.03596,0.01022,0.26068,1.49054,0.00341,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,483.18,2.21956,3.48234,0.02523,0.51845,0.23185,0.04141,0.01257,0.27168,0.86969,0.00361,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,543.097,2.25584,3.41515,0.02633,0.02818,0.41423,0.05476,0.01998,0.29279,0.59738,0.00402,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,603.338,2.15719,3.4156,0.02406,0.00497,0.7616,0.03661,0.01216,0.26222,2.1054,0.00349,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,663.497,2.13744,3.26977,0.02369,0.50034,0.30444,0.001,0.00022,0.31093,127.008,0.00439,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
