epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.985,4.33112,7.71816,3.28727,0.00233,0.17944,0.00175,0.00037,0.41217,0.62875,0.43019,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,332.882,2.75383,3.9042,2.39142,0.00081,0.29541,0.00066,0.00014,0.36817,1.083,0.36526,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,478.786,2.59576,3.73164,2.21652,0.00244,0.28831,0.0045,0.00111,0.32382,1.64831,0.31936,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,620.609,2.52599,3.80625,2.10988,0.00293,0.18145,0.00624,0.00144,0.36296,0.58765,0.35464,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,763.404,2.47072,3.86769,2.05825,0.00154,0.28689,0.00289,0.00083,0.27208,0.53141,0.28345,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,905.401,2.40117,3.76896,2.00831,0.00141,0.8472,0.00271,0.0007,0.2939,5.42563,0.29273,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1047.31,2.27603,3.62288,1.88952,0.00069,0.40927,0.00938,0.00296,0.30536,5.77064,0.32561,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1190.81,2.29724,3.71273,1.93977,0.00163,0.43952,0.01256,0.00391,0.26931,10.9207,0.27611,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1335.16,2.30471,3.62977,1.92625,0.00698,0.36694,0.037,0.01164,0.27259,0.49897,0.27889,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1479.68,2.27125,3.55595,1.89047,0.00434,0.79386,0.04553,0.01632,0.25639,2.04154,0.25838,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1624.2,2.21912,3.49314,1.846,0.00326,0.82248,0.04177,0.01273,0.25484,13.157,0.26528,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1768.26,2.19723,3.50031,1.85308,0.00524,0.71216,0.05892,0.018,0.27919,2.81235,0.28561,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1911.89,2.22256,3.4713,1.83749,0.0076,0.72022,0.05496,0.0187,0.25846,10.1339,0.26351,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2053.96,2.1904,3.41506,1.82199,0.04054,0.36234,0.06621,0.02405,0.26167,0.56873,0.26272,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2199.47,2.17608,3.38799,1.79903,0.01647,0.53034,0.07546,0.02855,0.24801,0.6126,0.25435,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2344.18,2.15762,3.34962,1.8121,0.03334,0.50681,0.08473,0.02849,0.27148,0.56074,0.26543,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2487.55,2.13862,3.30276,1.79149,0.51216,0.34073,0.08717,0.02911,0.25593,7.93508,0.25761,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2629.2,2.08693,3.22931,1.74306,0.01341,0.77168,0.13065,0.04747,0.25211,1.26507,0.2522,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2773.51,2.13292,3.22603,1.77663,0.55078,0.24194,0.08223,0.02777,0.25203,6.77985,0.26051,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2918.68,2.12684,3.21219,1.80267,0.00688,0.8003,0.04904,0.01454,0.24284,27.8257,0.25206,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3062.49,2.07535,3.2087,1.71328,0.03238,0.46259,0.0728,0.02933,0.26585,0.50605,0.26252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3206.59,2.11909,3.16629,1.80001,0.07026,0.4106,0.12858,0.04661,0.24744,1.33813,0.25177,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3349.85,2.05149,3.13114,1.72394,0.00383,0.80407,0.0874,0.03172,0.24674,9.32297,0.25754,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3494.92,2.09955,3.09933,1.74867,0.55788,0.29637,0.12556,0.04725,0.23584,3.92547,0.24415,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3639.2,2.01962,3.04637,1.69851,0.58209,0.25605,0.13187,0.04896,0.24656,2.33539,0.25341,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3782.22,2.03962,2.99202,1.71141,0.03282,0.40359,0.07205,0.02871,0.25765,0.5647,0.25702,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3926.38,2.04453,3.03456,1.71015,0.64557,0.1129,0.10327,0.03679,0.26097,0.46692,0.26045,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4068.4,2.07841,2.9679,1.72681,0.59853,0.14919,0.11355,0.04209,0.25123,0.89015,0.25105,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4212.07,2.0972,2.99578,1.74825,0.05714,0.42603,0.08002,0.03326,0.25437,0.46432,0.25492,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4354.59,2.04066,2.97572,1.72226,0.55118,0.32056,0.13191,0.04763,0.23904,2.07136,0.24483,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4500.73,2.1032,2.96091,1.73371,0.59069,0.28226,0.15082,0.05593,0.25054,2.24949,0.24933,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4645.45,1.9344,2.8817,1.62484,0.62956,0.20766,0.15419,0.06005,0.239,0.91365,0.24237,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4790.82,2.06861,2.88146,1.70941,0.57778,0.29839,0.13255,0.04997,0.24622,2.08955,0.25055,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
