epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,94.8821,2.54504,12.002,0.03211,2e-05,0.00605,0,0,0.32201,0.81407,0.00451,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,159.805,2.38617,4.55747,0.02953,0.00401,0.16747,0.00185,0.0004,0.29988,0.62635,0.00408,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,216.172,2.43025,3.92728,0.02886,0.0018,0.51352,0.00234,0.00061,0.27236,0.74994,0.0036,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,268.578,2.35088,3.9012,0.02856,0.00215,0.38951,0.00368,0.00082,0.26786,1.75997,0.00359,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,321.43,2.23833,3.74026,0.0254,0.00332,0.28831,0.00712,0.00175,0.29157,0.5981,0.00409,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,373.469,2.26817,3.61578,0.02669,0.00344,0.42554,0.00917,0.00249,0.25415,1.28649,0.00326,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,425.77,2.20154,3.58932,0.02505,0.00011,0.00403,0,0,0.3723,0.81546,0.00555,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,478.015,2.21168,3.62559,0.02554,0.00445,0.36895,0.02253,0.0064,0.27716,0.78831,0.00373,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,530.367,2.22941,3.59883,0.02532,0.01382,0.40389,0.02424,0.00738,0.2456,0.67789,0.00328,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,582.666,2.15888,3.47697,0.02457,0.00504,0.57119,0.0116,0.00333,0.25097,1.28946,0.00324,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
