epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.44,4.32478,8.18614,3.32146,0.001,0.28427,0.00119,0.00026,0.3534,0.60367,0.39163,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,241.327,2.69812,4.11591,2.34633,0.00499,0.1012,0.0009,0.00024,0.33921,0.59227,0.36471,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,346.672,2.60203,3.80562,2.20028,0.00273,0.35081,0.01459,0.00481,0.28809,1.5644,0.30118,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,447.985,2.49981,3.79585,2.08313,0.00154,0.41532,0.00978,0.00294,0.2938,3.1347,0.29894,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,551.958,2.4944,3.84979,2.06231,0.0049,0.18145,0.00426,0.00107,0.35275,0.561,0.35527,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,655.385,2.40605,3.73767,1.99816,0.00698,0.50413,0.00978,0.00275,0.28253,1.88192,0.28923,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,760.397,2.27828,3.62003,1.89333,0.02712,0.38131,0.02406,0.00848,0.2728,1.01608,0.2764,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,864.839,2.27764,3.71379,1.91224,0.00857,0.67775,0.03778,0.01257,0.25906,3.29531,0.26718,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,969.435,2.25981,3.57889,1.90897,0.02739,0.39824,0.05447,0.01866,0.25699,0.68231,0.26277,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1074.24,2.23018,3.50597,1.8632,0.07456,0.15174,0.02709,0.0091,0.32094,0.5717,0.30689,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
